"","Name","Sales","UserScore","Developer","CriticalScore","Genre","Platform","Rating"
"1","Wii Sports","High","High","Nintendo","High","Sports","Nintendo","E"
"2","Super Mario Bros.","High","Medium","Other","Medium","Platform","Nintendo","T"
"3","Mario Kart Wii","High","High","Nintendo","High","Racing","Nintendo","E"
"4","Wii Sports Resort","High","High","Nintendo","High","Sports","Nintendo","E"
"5","Pokemon Red/Pokemon Blue","High","Medium","Other","Medium","Role-Playing","Nintendo","T"
"6","Tetris","High","Medium","Other","Medium","Puzzle","Nintendo","T"
"7","New Super Mario Bros.","High","High","Nintendo","High","Platform","Nintendo","E"
"8","Wii Play","High","Low","Nintendo","Low","Misc","Nintendo","E"
"9","New Super Mario Bros. Wii","High","High","Nintendo","High","Platform","Nintendo","E"
"10","Duck Hunt","High","Medium","Other","Medium","Shooter","Nintendo","T"
"11","Nintendogs","High","Medium","Other","Medium","Simulation","Nintendo","T"
"12","Mario Kart DS","High","High","Nintendo","High","Racing","Nintendo","E"
"13","Pokemon Gold/Pokemon Silver","High","Medium","Other","Medium","Role-Playing","Nintendo","T"
"14","Wii Fit","High","Medium","Nintendo","High","Sports","Nintendo","E"
"15","Kinect Adventures!","High","Low","Good Science Studio","Low","Misc","Microsoft","E"
"16","Wii Fit Plus","High","Medium","Nintendo","High","Sports","Nintendo","E"
"17","Grand Theft Auto V","High","High","Rockstar North","High","Action","Sony","M"
"18","Grand Theft Auto: San Andreas","High","High","Rockstar North","High","Action","Sony","M"
"19","Super Mario World","High","Medium","Other","Medium","Platform","Nintendo","T"
"20","Brain Age: Train Your Brain in Minutes a Day","High","Medium","Nintendo","High","Misc","Nintendo","E"
"21","Pokemon Diamond/Pokemon Pearl","High","Medium","Other","Medium","Role-Playing","Nintendo","T"
"22","Super Mario Land","High","Medium","Other","Medium","Platform","Nintendo","T"
"23","Super Mario Bros. 3","High","Medium","Other","Medium","Platform","Nintendo","T"
"24","Grand Theft Auto V","High","High","Rockstar North","High","Action","Microsoft","M"
"25","Grand Theft Auto: Vice City","High","High","Rockstar North","High","Action","Sony","M"
"26","Pokemon Ruby/Pokemon Sapphire","High","Medium","Other","Medium","Role-Playing","Nintendo","T"
"27","Brain Age 2: More Training in Minutes a Day","High","Medium","Nintendo","High","Puzzle","Nintendo","E"
"28","Pokemon Black/Pokemon White","High","Medium","Other","Medium","Role-Playing","Nintendo","T"
"29","Gran Turismo 3: A-Spec","High","High","Polyphony Digital","High","Racing","Sony","E"
"30","Call of Duty: Modern Warfare 3","High","Low","Infinity Ward, Sledgehammer Games","High","Shooter","Microsoft","M"
"31","Pokémon Yellow: Special Pikachu Edition","High","Medium","Other","Medium","Role-Playing","Nintendo","T"
"32","Call of Duty: Black Ops 3","High","Medium","Other","Medium","Shooter","Sony","T"
"33","Call of Duty: Black Ops","High","Low","Treyarch","High","Shooter","Microsoft","M"
"34","Pokemon X/Pokemon Y","High","Medium","Other","Medium","Role-Playing","Nintendo","T"
"35","Call of Duty: Black Ops II","High","Low","Treyarch","High","Shooter","Sony","M"
"36","Call of Duty: Black Ops II","High","Low","Treyarch","High","Shooter","Microsoft","M"
"37","Call of Duty: Modern Warfare 2","High","Low","Infinity Ward","High","Shooter","Microsoft","M"
"38","Call of Duty: Modern Warfare 3","High","Low","Infinity Ward, Sledgehammer Games","High","Shooter","Sony","M"
"39","Grand Theft Auto III","High","High","DMA Design","High","Action","Sony","M"
"40","Super Smash Bros. Brawl","High","High","Game Arts","High","Fighting","Nintendo","T"
"41","Mario Kart 7","High","High","Retro Studios, Entertainment Analysis & Development Division","High","Racing","Nintendo","E"
"42","Call of Duty: Black Ops","High","Low","Treyarch","High","Shooter","Sony","M"
"43","Grand Theft Auto V","High","High","Rockstar North","High","Action","Sony","M"
"44","Animal Crossing: Wild World","High","High","Nintendo","High","Simulation","Nintendo","E"
"45","Halo 3","High","Medium","Bungie Software, Bungie","High","Shooter","Microsoft","M"
"46","Super Mario 64","High","Medium","Other","Medium","Platform","Nintendo","T"
"47","Pokemon HeartGold/Pokemon SoulSilver","High","Medium","Other","Medium","Action","Nintendo","T"
"48","Pokemon Omega Ruby/Pokemon Alpha Sapphire","High","Medium","Other","Medium","Role-Playing","Nintendo","T"
"49","Gran Turismo 4","High","High","Polyphony Digital","High","Racing","Sony","E"
"50","Super Mario Galaxy","High","High","Nintendo","High","Platform","Nintendo","E"
"51","Super Mario Land 2: 6 Golden Coins","High","Medium","Other","Medium","Adventure","Nintendo","T"
"52","Grand Theft Auto IV","High","Medium","Rockstar North","High","Action","Microsoft","M"
"53","Gran Turismo","High","High","Polyphony Digital","High","Racing","Sony","E"
"54","Super Mario 3D Land","High","High","Nintendo","High","Platform","Nintendo","E"
"55","Gran Turismo 5","High","Medium","Polyphony Digital","High","Racing","Sony","E"
"56","Call of Duty: Modern Warfare 2","High","Low","Infinity Ward","High","Shooter","Sony","M"
"57","Super Mario All-Stars","High","Medium","Other","Medium","Platform","Nintendo","T"
"58","Grand Theft Auto IV","High","Medium","Rockstar North","High","Action","Sony","M"
"59","Pokemon FireRed/Pokemon LeafGreen","High","Medium","Other","Medium","Role-Playing","Nintendo","T"
"60","Super Mario 64","High","Medium","Other","Medium","Platform","Nintendo","T"
"61","Call of Duty: Ghosts","High","Low","Infinity Ward","Medium","Shooter","Microsoft","M"
"62","Just Dance 3","High","Medium","Ubisoft","Medium","Misc","Nintendo","E10+"
