"","Name","Sales","UserScore","Developer","CriticalScore","Genre","Platform","Rating"
"1","Wii Sports","0","0","4","0",11,"0",2
"2","Super Mario Bros.","0","1","4","1",5,"0",1
"3","Mario Kart Wii","0","0","4","0",7,"0",2
"4","Wii Sports Resort","0","0","4","0",11,"0",2
"5","Pokemon Red/Pokemon Blue","0","1","4","1",8,"0",1
"6","Tetris","0","1","4","1",6,"0",1
"7","New Super Mario Bros.","0","0","4","0",5,"0",2
"8","Wii Play","0","2","4","2",4,"0",2
"9","New Super Mario Bros. Wii","0","0","4","0",5,"0",2
"10","Duck Hunt","0","1","4","1",9,"0",1
"11","Nintendogs","0","1","4","1",10,"0",1
"12","Mario Kart DS","0","0","4","0",7,"0",2
"13","Pokemon Gold/Pokemon Silver","0","1","4","1",8,"0",1
"14","Wii Fit","0","1","4","0",11,"0",2
"15","Kinect Adventures!","0","2","0","2",4,"2",2
"16","Wii Fit Plus","0","1","4","0",11,"0",2
"17","Grand Theft Auto V","0","0","2","0",1,"1",4
"18","Grand Theft Auto: San Andreas","0","0","2","0",1,"1",4
"19","Super Mario World","0","1","4","1",5,"0",1
"20","Brain Age: Train Your Brain in Minutes a Day","0","1","4","0",4,"0",2
"21","Pokemon Diamond/Pokemon Pearl","0","1","4","1",8,"0",1
"22","Super Mario Land","0","1","4","1",5,"0",1
"23","Super Mario Bros. 3","0","1","4","1",5,"0",1
"24","Grand Theft Auto V","0","0","2","0",1,"2",4
"25","Grand Theft Auto: Vice City","0","0","2","0",1,"1",4
"26","Pokemon Ruby/Pokemon Sapphire","0","1","4","1",8,"0",1
"27","Brain Age 2: More Training in Minutes a Day","0","1","4","0",6,"0",2
"28","Pokemon Black/Pokemon White","0","1","4","1",8,"0",1
"29","Gran Turismo 3: A-Spec","0","0","1","0",7,"1",2
"30","Call of Duty: Modern Warfare 3","0","2","0","0",9,"2",4
"31","Pokémon Yellow: Special Pikachu Edition","0","1","4","1",8,"0",1
"32","Call of Duty: Black Ops 3","0","1","4","1",9,"1",1
"33","Call of Duty: Black Ops","0","2","4","0",9,"2",4
"34","Pokemon X/Pokemon Y","0","1","4","1",8,"0",1
"35","Call of Duty: Black Ops II","0","2","4","0",9,"1",4
"36","Call of Duty: Black Ops II","0","2","4","0",9,"2",4
"37","Call of Duty: Modern Warfare 2","0","2","3","0",9,"2",4
"38","Call of Duty: Modern Warfare 3","0","2","0","0",9,"1",4
"39","Grand Theft Auto III","0","0","0","0",1,"1",4
"40","Super Smash Bros. Brawl","0","0","3","0",3,"0",1
"41","Mario Kart 7","0","0","0","0",7,"0",2
"42","Call of Duty: Black Ops","0","2","4","0",9,"1",4
"43","Grand Theft Auto V","0","0","2","0",1,"1",4
"44","Animal Crossing: Wild World","0","0","4","0",10,"0",2
